ID,Hit
MARIO,Y
DONKEY_KONG,N
LINK,N
SAMUS,N
DARK_SAMUS,N
YOSHI,N
KIRBY,Y
FOX,Y
PIKACHU,Y
LUIGI,Y
NESS,Y
CAPTAIN_FALCON,N
JIGGLYPUFF,Y
PEACH,Y
DAISY,Y
BOWSER,N
ICE_CLIMBERS,Y
SHEIK,Y
ZELDA,Y
DR_MARIO,Y
PICHU,Y
FALCO,Y
MARTH,Y
LUCINA,Y
YOUNG_LINK,Y
GANONDORF,N
MEWTWO,Y
ROY,Y
CHROM,Y
MR_GAME_AND_WATCH,Y
META_KNIGHT,Y
PIT,Y
DARK_PIT,Y
ZERO_SUIT_SAMUS,Y
WARIO,N
SNAKE,N
IKE,N
POKEMON_TRAINER_SQUIRTLE,Y
POKEMON_TRAINER_IVYSAUR,Y
POKEMON_TRAINER_CHARIZARD,N
DIDDY_KONG,Y
LUCAS,Y
SONIC,Y
KING_DEDEDE,N
OLIMAR,Y
LUCARIO,Y
R_O_B,N
TOON_LINK,Y
WOLF,Y
VILLAGER,Y
MEGA_MAN,N
WII_FIT_TRAINER,Y
ROSALINA_AND_LUMA,Y
LITTLE_MAC,Y
GRENINJA,Y
PALUTENA,Y
PAC_MAN,Y
ROBIN,Y
SHULK,Y
BOWSER_JR,N
DUCK_HUNT,Y
RYU,N
KEN,N
CLOUD,N
CORRIN,Y
BAYONETTA,Y
INKLING,Y
RIDLEY,N
SIMON,N
RICHTER,N
KING_K_ROOL,N
ISABELLE,Y
INCINEROAR,N
PIRANHA_PLANT,N
JOKER,Y
HERO,N
TERRY,N
BANJO_AND_KAZOOIE,N
MII_BRAWLER,Y
MII_SWORDFIGHTER,N
MII_GUNNER,N
